GSE,Title,Suitability_tier,Suitability_score,Meth_array,Other_platforms,N_samples,Has_sex,Has_age,Has_tissue,Has_ancestry,Has_cell_composition,N_phenotype_fields,Phenotype_fields,N_char_fields,All_char_tags,Sex_field,Age_field,Tissue_field,Tissue_examples,Phenotype_examples,First_sample_source_name,Suitability_notes,PubMed,Submission_date,Last_update,Platform_GPLs,N_matrix_files
GSE111631,Genome wide DNA methylation profiling of normal saliva from females and males,Limited,3,EPIC (850K),,168,True,False,False,False,False,0,,5,molecule subtype | sample_plate | sentrix_position | sentrix_id | gender,gender,,,,,genomic DNA from saliva sample SLV1,no phenotype/exposure variable (demographic/reference only),29693419,Mar 09 2018,May 31 2020,GPL21145,1
GSE128821,Epigenome-wide analyis of neurobehavioral variation in preterm infants,Moderate,5,EPIC (850K),,542,True,False,False,False,False,25,subject status | pmid_38418845 | nnns profile | pp_prp | buccal_pma | class | site | bsi_0_2_3 | pmid_38358663 | baycogcb | bga | pmid_34507616 | bayccogcb | outborn | rid | rfid | riskmdb34 | rsite_birth | cld1 | rsite_ereg | sbi | epi | inf | (untagged) | rop,27,subject status | gender | pmid_38418845 | nnns profile | pp_prp | buccal_pma | class | site | bsi_0_2_3 | pmid_38358663 | baycogcb | bga | pmid_34507616 | bayccogcb | outborn | rid | plate | rfid | riskmdb34 | rsite_birth | cld1 | rsite_ereg | sbi | epi | inf | (untagged) | rop,gender,,,,subject status: infants born less than 30 weeks postmenstrual age (PMA) || pmid_38418845: 1; 0 || nnns profile: 2; 3; 4; 5 || pp_prp: 0.125; 0.0952380952380952; 0.291666666666667; 0.208333333333333,genomic DNA from buccal swab,clean single-array study with phenotype + covariates,31004082,Mar 25 2019,Feb 13 2026,GPL21145,1
GSE131433,Epigenome-wide Association study of individuals conceived by Assisted Reproduction Technologies at birth and adulthood,Moderate,5,EPIC (850K),,440,True,False,False,False,False,3,art status | art subtype | time of collection,5,gender | sample type | art status | art subtype | time of collection,gender,,,,art status: ART; non-ART || art subtype: Frozen embryo; NA; Fresh embryo; GIFT || time of collection: birth; adulthood,ART_Donor_1,clean single-array study with phenotype + covariates,31477727,May 17 2019,May 12 2023,GPL21145,1
GSE132181,Genome wide blood DNA methylation measured at birth and age 7 on the EPIC array,Strong,7,EPIC (850K),,392,True,True,True,True,True,2,gestationalage_birth | samplecollectionsite,9,tissue | age | methylationplatenumber | selfreportedrace | gestationalage_birth | Sex | samplecollectionsite | ancestry_pc1 | ancestry_pc2,Sex,age,tissue,Cord blood; PBMCs,gestationalage_birth: 39; 37; 40; 41 || samplecollectionsite: Baltimore; Boston; New York; St. Louis,Human cord blood at birth,clean single-array study with phenotype + covariates,,Jun 04 2019,Nov 14 2024,GPL21145,1
GSE132203,DNA Methylation (EPIC) from the Grady Trauma Project,Strong,6,EPIC (850K),,795,True,True,False,True,True,4,mergedcapsandpsswinthin30days | tei_total_types_experienced_somewitness | childabphyssexemot_ctq_01modandsev | neu,16,gender | age | race | mergedcapsandpsswinthin30days | tei_total_types_experienced_somewitness | childabphyssexemot_ctq_01modandsev | pc1 | pc2 | pc3 | cd8t | cd4t | nk | bcell | mono | neu | age acceleration,gender,age;age acceleration,,,mergedcapsandpsswinthin30days: 0; NA; 1 || tei_total_types_experienced_somewitness: 10; 4; 1; 9 || childabphyssexemot_ctq_01modandsev: 0; 1; NA || neu: 0.433208068; 0.599695891; 0.655035495; 0.527805456,Whole Blood,clean single-array study with phenotype + covariates,31737926,Jun 05 2019,May 14 2026,GPL21145,1
GSE142512,Longitudinal DNA methylation differences precede type 1 diabetes,Strong,6,450K+EPIC (850K),,395,True,True,True,False,False,3,subject id | disease time point | t1d status,6,subject id | disease time point | age | Sex | t1d status | tissue,Sex,age,tissue,peripheral blood sample,subject id: 00397-0; 00947-0; 00770-0; 00588-0 || disease time point: 4; 2; 3; 5 || t1d status: T1D case; T1D control,T1D case_Male_time point 4,mixed array generations (450K/EPIC/EPICv2),32111940,Dec 22 2019,May 31 2024,"GPL13534,GPL21145",2
GSE143157,Epigenome-Wide Association Study in multiple system atrophy (MSA),Strong,7,EPIC (850K),,156,True,True,True,False,True,5,pmi (hours) | condition | identifier | conversion | (untagged),10,sample type | Sex | age | pmi (hours) | condition | brain bank | identifier | tissue | conversion | (untagged),Sex,age,tissue,Brain,pmi (hours): 24; 83; 72; 62 || condition: CTRL; MSA || identifier: BBN_4581; BBN_20014; BBN_24200; BBN_16317 || conversion: oxBS; BS,Prefrontal cortex 1,clean single-array study with phenotype + covariates,32151281,Jan 06 2020,Mar 23 2020,GPL21145,1
GSE149412,Dioxin-like compound exposures and DNA methylation in the Anniston Community Health Survey Phase II,Moderate,4,EPIC (850K),,292,True,False,True,False,False,0,,2,Sex | tissue,Sex,,tissue,whole blood,,ACH0002,no phenotype/exposure variable (demographic/reference only),32629249,Apr 27 2020,Aug 02 2023,GPL21145,1
GSE158063,"Smaller stature in childhood following assisted reproductive technologies (ART) is not explained by parental or gestational factors, early childhood environment, or fetal DNA methylation [GUSTO_buffy_coat]",Strong,7,EPIC (850K),,915,True,True,True,True,False,2,art treatment status (0 = spontaneous; 1 = assisted reproduction) | pre-pregnancy bmi (kg/m^2),6,tissue | art treatment status (0 = spontaneous; 1 = assisted reproduction) | maternal age at delivery (years) | maternal ethnicity (0 = chinese; 1 = indian; 2 = malay) | child sex (male = 0; female = 1) | pre-pregnancy bmi (kg/m^2),child sex (male = 0; female = 1),maternal age at delivery (years),tissue,peripheral blood buffy coat,art treatment status (0 = spontaneous; 1 = assisted reproduction): 0; 1 || pre-pregnancy bmi (kg/m^2): NA; 17.3; 22.3; 23,peripheral blood buffy coat,clean single-array study with phenotype + covariates,34556649,Sep 16 2020,Oct 27 2021,GPL21145,1
GSE158064,"Smaller stature in childhood following assisted reproductive technologies (ART) is not explained by parental or gestational factors, early childhood environment, or fetal DNA methylation",Moderate,5,450K+EPIC (850K),,1934,True,True,True,True,False,2,art treatment status (0 = spontaneous; 1 = assisted reproduction) | pre-pregnancy bmi (kg/m^2),6,tissue | art treatment status (0 = spontaneous; 1 = assisted reproduction) | maternal age at delivery (years) | maternal ethnicity (0 = chinese; 1 = indian; 2 = malay) | child sex (male = 0; female = 1) | pre-pregnancy bmi (kg/m^2),child sex (male = 0; female = 1),maternal age at delivery (years),tissue,fetal cord tissue; peripheral blood buffy coat,art treatment status (0 = spontaneous; 1 = assisted reproduction): 0; 1 || pre-pregnancy bmi (kg/m^2): NA; 17.3; 22.3; 23,cord tissue,mixed array generations (450K/EPIC/EPICv2); very large (n=1934) — heavy for a tutorial,34556649,Sep 16 2020,Oct 27 2021,"GPL13534,GPL21145",2
GSE159930,Rare genetic variation at transcription factor binding site modulates local DNA methylation profiles,Moderate,5,EPIC (850K),,267,False,False,True,False,False,1,diagnosis,2,tissue | diagnosis,,,tissue,Blood; Heart,diagnosis: congenital heart defect,Blood,no sex field,33216750,Oct 23 2020,Nov 24 2020,GPL21145,1
GSE161476,A longitudinal and transancestral analysis of DNA methylation patterns and disease activity in lupus patients,Strong,7,EPIC (850K),,229,True,True,True,False,True,2,disease | sledai score,6,cell type | disease | Sex | age | ancestry | sledai score,Sex,age,cell type,Neutrophil,disease: Lupus || sledai score: 0; 4; 8; 12,Neutrophil DNA,clean single-array study with phenotype + covariates,33108347,Nov 13 2020,Dec 08 2020,GPL21145,1
GSE167885,Dataset for Placental Genomic and Epigenomic Signatures in Infants Borns at Extremely Low Gestational Age [DNA methylation],Strong,7,EPIC (850K),,411,True,True,True,False,False,2,birthweight (grams) | bmi (body mass index),5,tissue | birthweight (grams) | infant sex | mage (age of mother) (years) | bmi (body mass index),infant sex,mage (age of mother) (years),tissue,placenta,birthweight (grams): 986; 947; 761; 880 || bmi (body mass index): 22.4; NA; 20.8; 20.2,Placenta of infants born at low gestational age,clean single-array study with phenotype + covariates,35121757,Feb 28 2021,Feb 25 2022,GPL21145,1
GSE168739,Epigenome-Wide Association Study of COVID-19 Severity with Respiratory Failure,Strong,7,EPIC (850K),,407,True,True,True,False,False,2,disease state | individual id,5,disease state | individual id | age | gender | tissue,gender,age,tissue,whole blood,disease state: COVID-19 || individual id: Patient 1; Patient 2; Patient 3; Patient 4,Whole Blood,clean single-array study with phenotype + covariates,33867313,Mar 11 2021,May 05 2022,GPL21145,1
GSE171140,"Skeletal muscle DNA methylation profiles in young, healthy men and women before and after 4, 8 and 12 weeks of HIIT, or after a 4-week control period",Strong,7,EPIC (850K),,195,True,True,True,False,False,3,subject id | (untagged) | treatment/timepoint,6,age | subject id | Sex | (untagged) | treatment/timepoint | tissue,Sex,age,tissue,Vastus lateralis,subject id: GS22; GS34; GS2; GS48 || (untagged):  || treatment/timepoint: at baseline during second intervention; at baseline during first intervention; after 4 weeks of HIIT during second intervention; after 4 weeks of HIIT during first intervention,"Vastus lateralis, at baseline, from individual GS2, Rep1",clean single-array study with phenotype + covariates,,Mar 30 2021,Apr 02 2021,GPL21145,1
GSE172365,Multi-omics co-localization with genome-wide association studies reveals a context-specific genetic mechanism at a childhood onset asthma risk locus [Methylation array],Strong,6,EPIC (850K),,206,True,True,False,True,False,14,sample_id | treatment | crs | asthma | steroid | smoking | dna_concentration | surgical_date | initial_culture_days | cryo_days | cryo_date | ppg_culture_start | cell_culture_harvest_after_rv_treatment | array,18,sample_id | treatment | crs | asthma | steroid | smoking | gender | ethnicity | age | dna_concentration | surgical_date | initial_culture_days | cryo_days | cryo_date | ppg_culture_start | cell_culture_harvest_after_rv_treatment | array | sentrix_id,gender,age,,,sample_id: 76b3_439a-1A; 76b3_439a-2A; db6c_413d-1A; db6c_413d-2A || treatment: RV; vehicle || crs: CRS; nonCRS || asthma: No; Active.Prior,Cultred airway epithelial cells,clean single-array study with phenotype + covariates,34629083,Apr 19 2021,Nov 03 2021,GPL21145,1
GSE172368,Multi-omics co-localization with genome-wide association studies reveals a context-specific genetic mechanism at a childhood onset asthma risk locus,Moderate,5,EPIC (850K),GPL16791,396,True,True,False,True,False,38,sample.id | treatment | atopy | asthma | steroids | steroid.binary | smoking | crs | tech | rin | bioanalyzer.average.fragment.length.bp | rna.pool | surgeon | nm_pcr | rna.concentration.ng.ul | days.initial.culture | days.ln2 | day.experimental.culture.time | anc.pca1 | anc.pca2 | anc.pca3 | anc.pca4 | anc.pca5 | anc.pca6 | anc.pca7 | anc.pca8 | anc.pca9 | anc.pca10 | sample_id | steroid | dna_concentration | surgical_date | initial_culture_days | cryo_days | cryo_date | ppg_culture_start | cell_culture_harvest_after_rv_treatment | array,45,sample.id | rna.extraction.batch | treatment | gender | atopy | asthma | steroids | steroid.binary | smoking | crs | tech | qpcr.batch | rin | bioanalyzer.average.fragment.length.bp | age | rna.pool | flowcell.lane | surgeon | nm_pcr | rna.concentration.ng.ul | days.initial.culture | days.ln2 | day.experimental.culture.time | anc.pca1 | anc.pca2 | anc.pca3 | anc.pca4 | anc.pca5 | anc.pca6 | anc.pca7 | anc.pca8 | anc.pca9 | anc.pca10 | sample_id | steroid | ethnicity | dna_concentration | surgical_date | initial_culture_days | cryo_days | cryo_date | ppg_culture_start | cell_culture_harvest_after_rv_treatment | array | sentrix_id,gender,age,,,sample.id: 76b3_439a-1A; 76b3_439a-2A; db6c_413d-1A; db6c_413d-2A || treatment: RV; vehicle || atopy: No; Yes; NA || asthma: No; Active.Prior,Cultured airway epithelial cells (basal cells),multi-omic super-series (methylation + sequencing),34629083,Apr 19 2021,Nov 03 2021,"GPL16791,GPL21145",2
GSE175458,Functional Validation of Common Idiopathic Pulmonary Fibrosis Genetic Risk Variants [850k methylation arrays],Strong,7,EPIC (850K),,547,True,True,True,True,False,5,center | dx | case_control_status | methylationid | smoking_ever_never,11,tissue | center | dx | case_control_status | methylationid | methylation_well | age | Sex | race | ethnicity | smoking_ever_never,Sex,age,tissue,lung,center: Pittsburgh Lung Donor Core; UCSF; Vanderbilt; National Jewish || dx: normal; ipf; other; control || case_control_status: control; case || methylationid: 201113990020_R01C01; 201113990020_R02C01; 201113990020_R03C01; 201113990020_R04C01,tissue-Explant,clean single-array study with phenotype + covariates,35816432,May 24 2021,Sep 30 2022,GPL21145,1
GSE175459,Functional Validation of Common Idiopathic Pulmonary Fibrosis Genetic Risk Variants,Strong,6,EPIC (850K),GPL24676,969,True,True,True,True,False,7,center | dx | case_control_status | methylationid | smoking_ever_never | rnaseqid | raw data disclaimer,13,tissue | center | dx | case_control_status | methylationid | methylation_well | age | Sex | race | ethnicity | smoking_ever_never | rnaseqid | raw data disclaimer,Sex,age,tissue,lung,center: Pittsburgh Lung Donor Core; UCSF; Vanderbilt; National Jewish || dx: normal; ipf; other; control || case_control_status: control; case || methylationid: 201113990020_R01C01; 201113990020_R02C01; 201113990020_R03C01; 201113990020_R04C01,tissue-Explant,multi-omic super-series (methylation + sequencing),35816432,May 24 2021,Sep 30 2022,"GPL21145,GPL24676",2
GSE178809,Airway Aging and Methylation Disruptions in HIV-associated Chronic Obstructive Pulmonary Disease,Moderate,4,EPIC (850K),GPL24676,152,False,False,True,False,False,2,copd | copd_status,3,copd | tissue | copd_status,,,tissue,Bronchial epithelium,copd: N; Y || copd_status: N; Y,Bronchial epithelium,multi-omic super-series (methylation + sequencing); no sex field,35426765,Jun 24 2021,Jun 17 2022,"GPL21145,GPL24676",2
GSE179325,COVID-19 DNA methylation analysis,Strong,7,EPIC (850K),,574,True,True,True,False,False,3,subject status | cohort | disease state,6,subject status | age | gender | cohort | disease state | tissue/cell type,gender,age,tissue/cell type,Whole Blood,subject status: SARS-CoV-2 positive individual; SARS-CoV-2 negative individual || cohort: Discovery; Validation || disease state: SEVERE; MILD; NEGATIVE,Discovery_SEVERE_whole Blood,clean single-array study with phenotype + covariates,35933486,Jul 02 2021,Aug 24 2022,GPL21145,1
GSE184269,Specification of human immune cell epigenetic identity by combinations of transcription factors (MethylationEPIC),Strong,6,EPIC (850K),,167,True,True,False,False,False,1,donor id,3,donor id | age | Sex,Sex,age,,,donor id: GT001; GT002; GT003; GT004,Whole Blood,clean single-array study with phenotype + covariates,34706222,Sep 16 2021,Sep 27 2023,GPL21145,1
GSE191082,Specific methylation marks in promoter regions are associated to the pathogenic process of Chronic Chagas disease Cardiomyopathy by modifying transcription factor binding patterns [methylation],Moderate,5,EPIC (850K),,158,False,False,True,False,False,1,group,2,group | tissue,,,tissue,Left ventricular wall; Blood,group: non-chagasic control; chronic chagasic cardiomyopathy; chronic chagasic cardiomyopathy sample,Heart,no sex field,36072583,Dec 16 2021,Oct 28 2022,GPL21145,1
GSE191083,Specific methylation marks in promoter regions are associated to the pathogenic process of Chronic Chagas disease Cardiomyopathy by modifying transcription factor binding patterns,Moderate,4,EPIC (850K),GPL24676,180,False,False,True,False,False,1,group,2,group | tissue,,,tissue,Left ventricular wall; Blood,group: non-chagasic control; chronic chagasic cardiomyopathy; chronic chagasic cardiomyopathy sample; dilated cardiomyopathy,Heart,multi-omic super-series (methylation + sequencing); no sex field,36072583,Dec 16 2021,Oct 28 2022,"GPL21145,GPL24676",2
GSE191331,Longitudinal multi-omics analysis identifies early blood-based predictors of anti-TNF therapy response in inflammatory bowel disease,Limited,3,EPIC (850K),GPL20301,286,False,False,False,False,False,7,patient | cohort | treatment | remission at week 14 | time point | diagnosis | timepoint,7,patient | cohort | treatment | remission at week 14 | time point | diagnosis | timepoint,,,,,patient: 28; 29; 23; 13 || cohort: Discovery - Infliximab; Discovery - Vedolizumab; Replication; Discovery-Infliximab || treatment: Infliximab; Vedolizumab; Adalimumab || remission at week 14: Non-remission; Remission,Peripheral Whole-Blood,multi-omic super-series (methylation + sequencing); no sex field,36153599,Dec 20 2021,Dec 13 2024,"GPL20301,GPL21145",2
GSE195595,Epigenome wide DNA methylation profile of neonatal blood spots from the Archives for Research on Child Health (ARCH) cohort,Moderate,4,EPIC (850K),,152,True,False,True,False,False,0,,3,infant sex | tissue | arch id,infant sex,,tissue,neonatal blood spot,,neontatal bloodspot 1,no phenotype/exposure variable (demographic/reference only),38507935,Jan 27 2022,Nov 06 2024,GPL21145,1
GSE197305,Cortex DNA methylation profiles for the Brains for Dementia research cohort,Moderate,4,EPIC (850K),,1221,True,False,True,False,True,0,,7,developmental stage | tissue | brain region | gender | cell proportion double negative | cell proportion neun+ | cell proportion sox10+,gender,,developmental stage;tissue;brain region,adult; brain; Prefrontal; Occipital,,203205080152_R02C01,no phenotype/exposure variable (demographic/reference only),35995800,Feb 23 2022,Sep 30 2024,GPL21145,1
GSE199591,Role of epigenetics in the clinical evolution of COVID-19 disease. Epigenome-wide association study identifies markers of severe outcome.,Strong,7,EPIC (850K),,187,True,True,True,False,False,1,clinical evolution,4,tissue | Sex | age | clinical evolution,Sex,age,tissue,Whole_Blood,clinical evolution: Mild; Severe,Mild,clean single-array study with phenotype + covariates,36800980,Mar 28 2022,May 31 2023,GPL21145,1
GSE201754,Methylome and transcriptome profiling of giant cell arteritis monocytes reveals novel pathways involved in disease pathogenesis and molecular response to glucocorticoids,Strong,6,EPIC (850K),GPL16791,224,True,True,True,False,False,2,classification | (untagged),8,tissue | cell line | cell type | classification | Sex | age | sorter day | (untagged),Sex,age,tissue;cell line;cell type,Whole blood; CD14+ Monocytes; Monocytes,classification: RNT; RT; HD; ACT || (untagged): ,Whole blood,multi-omic super-series (methylation + sequencing),35705375,Apr 27 2022,Sep 27 2022,"GPL16791,GPL21145",2
GSE210435,TET2 Mutant Clonal Hematopoiesis Enhances Severity of COVID-19 Related Cytokine Release Syndrome and is Associated with Increased Mortality.,Moderate,4,EPIC (850K),"GPL20301,GPL24676",363,False,False,True,False,False,5,disease state_1 | disease state_2 | (untagged) | disease state 1 | disease state 2,7,tissue | disease state_1 | disease state_2 | (untagged) | disease state 1 | disease state 2 | cell type,,,tissue;cell type,Peripheral blood mononuclear cells; Peripheral blood mononuclear cells,disease state_1: Clonal Hematopoiesis || disease state_2: COVID-19 || (untagged):  || disease state 1: Clonal hematopoiesis,Peripheral blood mononuclear cells,multi-omic super-series (methylation + sequencing); no sex field,39189614,Aug 03 2022,Feb 24 2025,"GPL20301,GPL21145,GPL24676",3
GSE210995,"HKU Gastric Intestinal Metaplasia study: Single-cell RNA sequencing, transcriptome and methylation profiling",Moderate,5,EPIC (850K),GPL24676,199,True,False,True,False,False,6,culture condition | subtype reclassification | (untagged) | copy number profile | sample subtype reclassification | long-term culture,8,tissue/cell type | gender | culture condition | subtype reclassification | (untagged) | copy number profile | sample subtype reclassification | long-term culture,gender,,tissue/cell type,Human IM organoid; Human normal gastric organoid; Human normal colon organoid,culture condition: Standard gastric organoid medium; Culture condition: Standard gastric organoid medium; Culture condition: Standard gastric organoid medium without Wnt-3A for 4 days; Culture condition: Standard intestinal organoid medium || subtype reclassification: Reclassify as IM organoid based on transcriptome data; Reclassify as normal gastric organoid based on transcriptome data || (untagged):  || copy number profile: with CNV,Human IM organoid,multi-omic super-series (methylation + sequencing),39572083,Aug 10 2022,Jan 14 2025,"GPL21145,GPL24676",2
GSE216906,Longitudinal DNA methylation profile of peripheral blood in women delivering preterm informs predictive biomarkers,Moderate,5,EPIC (850K),,162,True,False,False,False,False,2,disease state | timepoint,4,Sex | sample type | disease state | timepoint,Sex,,,,disease state: Term; Preterm || timepoint: Sampled during 11-14 weeks of gestation; Sampled during 18-20 weeks of gestation; Sampled during 26-28 weeks of gestation,genomic DNA from maternal peripheral blood,clean single-array study with phenotype + covariates,37345372,Oct 31 2022,Feb 18 2026,GPL21145,1
GSE217633,Effect of HIV infection and antiretroviral therapy initiation on genome-wide DNA methylation patterns.,Strong,7,EPIC (850K),,413,True,True,True,False,False,7,individual | treatment | week | hiv_rna | years_hiv | time | (untagged),10,individual | gender | age | treatment | week | tissue | hiv_rna | years_hiv | time | (untagged),gender,age,tissue,whole blood,individual: PT1; PT3; PT4; PT2 || treatment: NO; YES || week: 0; 96 || hiv_rna: 216674; 76042; 3195; 110227,PT1-preART,clean single-array study with phenotype + covariates,36640455,Nov 09 2022,Jan 18 2023,GPL21145,1
GSE219037,Methylation data to study immune response to SARS-CoV-2 virus infection in COVID-19 Health Action Response for Marines (CHARM) study,Strong,7,EPIC (850K),,553,True,True,True,True,False,6,biocollection id | participant id | sample collection time point (days since t0) | enrollment date t0 | group | (untagged),12,meth-plate | enrollment batch | biocollection id | participant id | sample collection time point (days since t0) | enrollment date t0 | gender | age | ethnicity | group | tissue | (untagged),gender,age,tissue,blood,biocollection id: 20_5002-T56; 20_5002-T91; 20_5039-T00; 20_5039-T42 || participant id: 5002; 5039; 5048; 5054 || sample collection time point (days since t0): 56; 91; 0; 42 || enrollment date t0: 05/12/2020; 08/11/2020; 05/19/2020; 07/14/2020,EDTA blood,clean single-array study with phenotype + covariates,36919946,Nov 29 2022,Jun 21 2023,GPL21145,1
GSE220622,A multi-omics approach unveils an association between subclinical atherosclerosis and epigenetic age acceleration mediated by systemic inflammation (Methylation),Strong,6,EPIC (850K),,391,True,True,False,False,False,1,pesa score,3,gender | age | pesa score,gender,age,,,pesa score: Generalized; Intermediate; No; Focal,PESA study participant SUAZ_001_meth_v1,clean single-array study with phenotype + covariates,37339167,Dec 09 2022,Jun 23 2023,GPL21145,1
