"GSE","N_series","Title","Phenotypes","N_phenotypes","Suitability_tier","Suitability_score","Meth_array","N_samples","Has_sex","Has_age","Has_ancestry","Has_cell_composition","PubMed","Suitability_notes","Other_platforms","Has_tissue","N_phenotype_fields","Phenotype_fields","N_char_fields","All_char_tags","Sex_field","Age_field","Tissue_field","Tissue_examples","First_sample_source_name","Submission_date","Last_update","Platform_GPLs","N_matrix_files"
"GSE158063, GSE158064",2,"Smaller stature in childhood following assisted reproductive technologies (ART) is not explained by parental or gestational factors, early childhood environment, or fetal DNA methylation [GUSTO_buffy_coat]","art treatment status, pre-pregnancy bmi (kg/m^2)",2,"Strong",7,"EPIC (850K)","915, 1934","True","True","True","False",34556649,"clean single-array study with phenotype + covariates","","True",2,"art treatment status (0 = spontaneous; 1 = assisted reproduction) | pre-pregnancy bmi (kg/m^2)",6,"tissue | art treatment status (0 = spontaneous; 1 = assisted reproduction) | maternal age at delivery (years) | maternal ethnicity (0 = chinese; 1 = indian; 2 = malay) | child sex (male = 0; female = 1) | pre-pregnancy bmi (kg/m^2)","child sex (male = 0; female = 1)","maternal age at delivery (years)","tissue","peripheral blood buffy coat","peripheral blood buffy coat","Sep 16 2020","Oct 27 2021","GPL21145",1
"GSE224365, GSE224363, GSE224364",3,"Epigenetic analysis of psychosocial stress among mother-newborn dyads in the Democratic Republic of Congo","birthweight, delivery mode, maternal alcohol, parity, general trauma, sexual trauma, war trauma, chronic stress, cohort",9,"Strong",7,"EPIC (850K)","712, 356, 356","True","True","False","False",37300821,"clean single-array study with phenotype + covariates","","True",13,"birthweight | dyad | delivery mode | maternal alcohol | parity | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age",19,"gender | tissue | age | birthweight | dyad | maternal age | delivery mode | maternal alcohol | parity | gestational age | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age | age acceleration","gender","age;maternal age;gestational age;age acceleration","tissue","baby_venous_blood; mother_venous_blood","venous blood 1","Feb 02 2023","Sep 16 2025","GPL21145",1
"GSE179325",1,"COVID-19 DNA methylation analysis","subject status, cohort, disease state",3,"Strong",7,"EPIC (850K)","574","True","True","False","False",35933486,"clean single-array study with phenotype + covariates","","True",3,"subject status | cohort | disease state",6,"subject status | age | gender | cohort | disease state | tissue/cell type","gender","age","tissue/cell type","Whole Blood","Discovery_SEVERE_whole Blood","Jul 02 2021","Aug 24 2022","GPL21145",1
"GSE219037",1,"Methylation data to study immune response to SARS-CoV-2 virus infection in COVID-19 Health Action Response for Marines (CHARM) study","sample collection time point (days since t0), group",2,"Strong",7,"EPIC (850K)","553","True","True","True","False",36919946,"clean single-array study with phenotype + covariates","","True",6,"biocollection id | participant id | sample collection time point (days since t0) | enrollment date t0 | group | (untagged)",12,"meth-plate | enrollment batch | biocollection id | participant id | sample collection time point (days since t0) | enrollment date t0 | gender | age | ethnicity | group | tissue | (untagged)","gender","age","tissue","blood","EDTA blood","Nov 29 2022","Jun 21 2023","GPL21145",1
"GSE175458, GSE175459",2,"Functional Validation of Common Idiopathic Pulmonary Fibrosis Genetic Risk Variants [850k methylation arrays]","dx, case_control_status, smoking_ever_never",3,"Strong",7,"EPIC (850K)","547, 969","True","True","True","False",35816432,"clean single-array study with phenotype + covariates","","True",5,"center | dx | case_control_status | methylationid | smoking_ever_never",11,"tissue | center | dx | case_control_status | methylationid | methylation_well | age | Sex | race | ethnicity | smoking_ever_never","Sex","age","tissue","lung","tissue-Explant","May 24 2021","Sep 30 2022","GPL21145",1
"GSE217633",1,"Effect of HIV infection and antiretroviral therapy initiation on genome-wide DNA methylation patterns.","treatment, week, hiv_rna, years_hiv, time",5,"Strong",7,"EPIC (850K)","413","True","True","False","False",36640455,"clean single-array study with phenotype + covariates","","True",7,"individual | treatment | week | hiv_rna | years_hiv | time | (untagged)",10,"individual | gender | age | treatment | week | tissue | hiv_rna | years_hiv | time | (untagged)","gender","age","tissue","whole blood","PT1-preART","Nov 09 2022","Jan 18 2023","GPL21145",1
"GSE167885",1,"Dataset for Placental Genomic and Epigenomic Signatures in Infants Borns at Extremely Low Gestational Age [DNA methylation]","birthweight (grams), bmi (body mass index)",2,"Strong",7,"EPIC (850K)","411","True","True","False","False",35121757,"clean single-array study with phenotype + covariates","","True",2,"birthweight (grams) | bmi (body mass index)",5,"tissue | birthweight (grams) | infant sex | mage (age of mother) (years) | bmi (body mass index)","infant sex","mage (age of mother) (years)","tissue","placenta","Placenta of infants born at low gestational age","Feb 28 2021","Feb 25 2022","GPL21145",1
"GSE168739",1,"Epigenome-Wide Association Study of COVID-19 Severity with Respiratory Failure","disease state",1,"Strong",7,"EPIC (850K)","407","True","True","False","False",33867313,"clean single-array study with phenotype + covariates","","True",2,"disease state | individual id",5,"disease state | individual id | age | gender | tissue","gender","age","tissue","whole blood","Whole Blood","Mar 11 2021","May 05 2022","GPL21145",1
"GSE132181",1,"Genome wide blood DNA methylation measured at birth and age 7 on the EPIC array","gestationalage_birth, samplecollectionsite",2,"Strong",7,"EPIC (850K)","392","True","True","True","True",,"clean single-array study with phenotype + covariates","","True",2,"gestationalage_birth | samplecollectionsite",9,"tissue | age | methylationplatenumber | selfreportedrace | gestationalage_birth | Sex | samplecollectionsite | ancestry_pc1 | ancestry_pc2","Sex","age","tissue","Cord blood; PBMCs","Human cord blood at birth","Jun 04 2019","Nov 14 2024","GPL21145",1
"GSE284764",1,"Epigenome-Wide Association Study of the Interaction between Alzheimer’s disease and Systemic Infection","post-mortem delay, braak stage, ad diagnosis",3,"Strong",7,"EPIC (850K)","242","True","True","False","True",40166175,"clean single-array study with phenotype + covariates","","True",3,"post-mortem delay | braak stage | ad diagnosis",7,"tissue | brain bank | post-mortem delay | braak stage | age | Sex | ad diagnosis","Sex","age","tissue","Prefrontal Cortex","Prefrontal Cortex","Dec 19 2024","Mar 13 2026","GPL21145",1
"GSE161476",1,"A longitudinal and transancestral analysis of DNA methylation patterns and disease activity in lupus patients","disease, sledai score",2,"Strong",7,"EPIC (850K)","229","True","True","False","True",33108347,"clean single-array study with phenotype + covariates","","True",2,"disease | sledai score",6,"cell type | disease | Sex | age | ancestry | sledai score","Sex","age","cell type","Neutrophil","Neutrophil DNA","Nov 13 2020","Dec 08 2020","GPL21145",1
"GSE171140",1,"Skeletal muscle DNA methylation profiles in young, healthy men and women before and after 4, 8 and 12 weeks of HIIT, or after a 4-week control period","treatment/timepoint",1,"Strong",7,"EPIC (850K)","195","True","True","False","False",,"clean single-array study with phenotype + covariates","","True",3,"subject id | (untagged) | treatment/timepoint",6,"age | subject id | Sex | (untagged) | treatment/timepoint | tissue","Sex","age","tissue","Vastus lateralis","Vastus lateralis, at baseline, from individual GS2, Rep1","Mar 30 2021","Apr 02 2021","GPL21145",1
"GSE199591",1,"Role of epigenetics in the clinical evolution of COVID-19 disease. Epigenome-wide association study identifies markers of severe outcome.","clinical evolution",1,"Strong",7,"EPIC (850K)","187","True","True","False","False",36800980,"clean single-array study with phenotype + covariates","","True",1,"clinical evolution",4,"tissue | Sex | age | clinical evolution","Sex","age","tissue","Whole_Blood","Mild","Mar 28 2022","May 31 2023","GPL21145",1
"GSE227809, GSE227815",2,"Temporal Genomics Mechanisms Underlying Disease and Aging [DNA Methylation]","ela status, time",2,"Strong",7,"EPIC (850K)","182, 403","True","True","False","False",37393564,"clean single-array study with phenotype + covariates","","True",3,"ela status | session | time",6,"cell type | Sex | age | ela status | session | time","Sex","age","cell type","PBMC","Participant 1, No-stress session, Time 1","Mar 21 2023","Jul 17 2023","GPL21145",1
"GSE143157",1,"Epigenome-Wide Association Study in multiple system atrophy (MSA)","pmi (hours), condition, conversion",3,"Strong",7,"EPIC (850K)","156","True","True","False","True",32151281,"clean single-array study with phenotype + covariates","","True",5,"pmi (hours) | condition | identifier | conversion | (untagged)",10,"sample type | Sex | age | pmi (hours) | condition | brain bank | identifier | tissue | conversion | (untagged)","Sex","age","tissue","Brain","Prefrontal cortex 1","Jan 06 2020","Mar 23 2020","GPL21145",1
"GSE272800",1,"Systems Biology to Identify Biomarkers of Neonatal Vaccine Immunogenicity [methylation]","treatment",1,"Strong",6,"EPIC (850K)","1350","True","False","True","False",39289350,"clean single-array study with phenotype + covariates","","True",1,"treatment",6,"Sex | race | ethnicity | tissue | cell type | treatment","Sex","","tissue;cell type","Blood; Whole blood","Blood","Jul 22 2024","May 19 2026","GPL21145",1
